Country,Doses administered per 100 people,Total doses administered,Percent of Population Vaccinated,,per_pop_fully_vacc,
Ukraine,71,31668577,0.36,36,0.34,34
United States of America,191,632905664,0.8,80,0.68,68
Uruguay,255,8832620,0.87,87,0.84,84
Uzbekistan,214,71888007,0.63,63,0.53,53
Vanuatu,98,293584,0.48,48,0.44,44
Venezuela,133,37860994,0.78,78,0.52,52
Vietnam,275,265336568,0.94,94,0.89,89
West Bank & Gaza,80,3748571,0.43,43,0.38,38
Yemen,4,1242982,0.035,3.5,0.026,2.6
Zambia,71,12655676,0.6,60,0.48,48
Zimbabwe,83,12222754,0.44,44,0.32,32
